,order_id,order_line,order_date,model,quantity,price,total_price,bikeshop_name,location,category_1,category_2,frame_material,city,state
16,6.0,3.0,2011-01-11,Habit 5,1.0,2340,2340.0,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Trail,Aluminum,Phoenix,AZ
17,6.0,4.0,2011-01-11,Synapse Carbon 105,1.0,2240,2240.0,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Carbon,Phoenix,AZ
18,7.0,1.0,2011-01-12,Supersix Evo Hi-Mod Team,1.0,10660,10660.0,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN
19,7.0,2.0,2011-01-12,CAAD12 Ultegra,1.0,2240,2240.0,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum,Minneapolis,MN
20,7.0,3.0,2011-01-12,Supersix Evo Tiagra,1.0,1840,1840.0,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN
21,7.0,4.0,2011-01-12,Scalpel 29 4,1.0,3200,3200.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN
22,7.0,5.0,2011-01-12,Habit 5,1.0,2340,2340.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Trail,Aluminum,Minneapolis,MN
23,7.0,6.0,2011-01-12,Scalpel-Si Black Inc.,1.0,12790,12790.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN
24,7.0,7.0,2011-01-12,Supersix Evo Ultegra 3,1.0,3200,3200.0,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN
25,7.0,8.0,2011-01-12,F-Si Hi-Mod Team,1.0,9060,9060.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN
26,7.0,9.0,2011-01-12,Scalpel-Si 5,1.0,3200,3200.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN
27,7.0,10.0,2011-01-12,CAAD8 105,2.0,1410,2820.0,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum,Minneapolis,MN
28,7.0,11.0,2011-01-12,Catalyst 3,1.0,480,480.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN
29,7.0,12.0,2011-01-12,Slice 105,1.0,1950,1950.0,Minneapolis Bike Shop,"Minneapolis, MN",Road,Triathalon,Carbon,Minneapolis,MN
30,7.0,13.0,2011-01-12,Scalpel-Si Race,1.0,9060,9060.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN
31,7.0,14.0,2011-01-12,Trail 5,2.0,815,1630.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN
32,8.0,1.0,2011-01-12,Synapse Disc Tiagra,1.0,1250,1250.0,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Aluminum,Phoenix,AZ
33,8.0,2.0,2011-01-12,Catalyst 3,3.0,480,1440.0,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Sport,Aluminum,Phoenix,AZ
34,9.0,1.0,2011-01-17,Synapse Carbon Ultegra 4,1.0,2660,2660.0,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Carbon,New Orleans,LA
35,9.0,2.0,2011-01-17,CAAD12 Red,2.0,3200,6400.0,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA
36,9.0,3.0,2011-01-17,CAAD8 105,1.0,1410,1410.0,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA
37,9.0,4.0,2011-01-17,CAAD12 Disc 105,1.0,1950,1950.0,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA
38,9.0,5.0,2011-01-17,Synapse Sora,5.0,1030,5150.0,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Aluminum,New Orleans,LA
39,10.0,1.0,2011-01-17,CAAD8 Tiagra,1.0,1250,1250.0,Portland Bi-peds,"Portland, OR",Road,Elite Road,Aluminum,Portland,OR
40,11.0,1.0,2011-01-18,CAAD12 Black Inc,1.0,5860,5860.0,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum,San Francisco,CA
41,11.0,2.0,2011-01-18,CAAD12 Red,2.0,3200,6400.0,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum,San Francisco,CA
42,11.0,3.0,2011-01-18,Supersix Evo Tiagra,1.0,1840,1840.0,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Carbon,San Francisco,CA
43,11.0,4.0,2011-01-18,Slice Hi-Mod Dura Ace D12,1.0,4500,4500.0,San Francisco Cruisers,"San Francisco, CA",Road,Triathalon,Carbon,San Francisco,CA
44,11.0,5.0,2011-01-18,Synapse Hi-Mod Disc Red,1.0,7460,7460.0,San Francisco Cruisers,"San Francisco, CA",Road,Endurance Road,Carbon,San Francisco,CA
45,11.0,6.0,2011-01-18,Scalpel 29 4,1.0,3200,3200.0,San Francisco Cruisers,"San Francisco, CA",Mountain,Cross Country Race,Aluminum,San Francisco,CA
46,11.0,7.0,2011-01-18,SuperX Hi-Mod CX1,1.0,3500,3500.0,San Francisco Cruisers,"San Francisco, CA",Road,Cyclocross,Carbon,San Francisco,CA
47,12.0,1.0,2011-01-20,Synapse Carbon Disc Ultegra,2.0,3730,7460.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
48,12.0,2.0,2011-01-20,Jekyll Carbon 3,1.0,3840,3840.0,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon,Louisville,KY
49,12.0,3.0,2011-01-20,F-Si Hi-Mod Team,1.0,9060,9060.0,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY
50,12.0,4.0,2011-01-20,CAAD12 Black Inc,1.0,5860,5860.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY
51,12.0,5.0,2011-01-20,Synapse Carbon Disc Ultegra D12,1.0,4800,4800.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
52,12.0,6.0,2011-01-20,Slice Hi-Mod Dura Ace D12,1.0,4500,4500.0,Louisville Race Equipment,"Louisville, KY",Road,Triathalon,Carbon,Louisville,KY
53,12.0,7.0,2011-01-20,Synapse Carbon Ultegra 3,1.0,3200,3200.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
54,12.0,8.0,2011-01-20,Syapse Carbon Tiagra,1.0,1840,1840.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
55,12.0,9.0,2011-01-20,Synapse Hi-Mod Disc Black Inc.,1.0,9590,9590.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
56,12.0,10.0,2011-01-20,CAAD12 Red,1.0,3200,3200.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY
57,12.0,11.0,2011-01-20,Synapse Carbon Ultegra 4,1.0,2660,2660.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
58,12.0,12.0,2011-01-20,Scalpel 29 Carbon 2,1.0,5330,5330.0,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY
59,12.0,13.0,2011-01-20,Synapse Carbon 105,1.0,2240,2240.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
60,12.0,14.0,2011-01-20,CAAD12 Ultegra,1.0,2240,2240.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY
61,12.0,15.0,2011-01-20,Slice Ultegra D12,1.0,3200,3200.0,Louisville Race Equipment,"Louisville, KY",Road,Triathalon,Carbon,Louisville,KY
62,12.0,16.0,2011-01-20,Supersix Evo Tiagra,3.0,1840,5520.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
63,12.0,17.0,2011-01-20,Synapse Claris,1.0,870,870.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Aluminum,Louisville,KY
64,12.0,18.0,2011-01-20,Supersix Evo Ultegra 4,1.0,2660,2660.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
65,12.0,19.0,2011-01-20,Scalpel-Si Hi-Mod 1,1.0,7460,7460.0,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY
66,13.0,1.0,2011-01-20,Supersix Evo Hi-Mod Dura Ace 2,1.0,5330,5330.0,Nashville Cruisers,"Nashville, TN",Road,Elite Road,Carbon,Nashville,TN
67,13.0,2.0,2011-01-20,CAAD8 105,1.0,1410,1410.0,Nashville Cruisers,"Nashville, TN",Road,Elite Road,Aluminum,Nashville,TN
68,14.0,1.0,2011-01-24,Habit 5,1.0,2340,2340.0,Albuquerque Cycles,"Albuquerque, NM",Mountain,Trail,Aluminum,Albuquerque,NM
69,14.0,2.0,2011-01-24,Beast of the East 1,1.0,2770,2770.0,Albuquerque Cycles,"Albuquerque, NM",Mountain,Trail,Aluminum,Albuquerque,NM
70,14.0,3.0,2011-01-24,F-Si Carbon 2,1.0,4800,4800.0,Albuquerque Cycles,"Albuquerque, NM",Mountain,Cross Country Race,Carbon,Albuquerque,NM
71,15.0,1.0,2011-01-25,Supersix Evo Hi-Mod Dura Ace 1,1.0,7990,7990.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon,Oklahoma City,OK
72,15.0,2.0,2011-01-25,Synapse Disc Tiagra,1.0,1250,1250.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Endurance Road,Aluminum,Oklahoma City,OK
73,15.0,3.0,2011-01-25,Scalpel 29 4,3.0,3200,9600.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Cross Country Race,Aluminum,Oklahoma City,OK
74,15.0,4.0,2011-01-25,Supersix Evo Hi-Mod Utegra,1.0,4260,4260.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon,Oklahoma City,OK
75,15.0,5.0,2011-01-25,CAAD8 Tiagra,1.0,1250,1250.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Aluminum,Oklahoma City,OK
76,15.0,6.0,2011-01-25,Habit Carbon SE,2.0,4480,8960.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Trail,Carbon,Oklahoma City,OK
77,15.0,7.0,2011-01-25,Trail 2,1.0,1350,1350.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Sport,Aluminum,Oklahoma City,OK
78,15.0,8.0,2011-01-25,CAAD12 Disc 105,1.0,1950,1950.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Aluminum,Oklahoma City,OK
79,15.0,9.0,2011-01-25,Supersix Evo Black Inc.,1.0,12790,12790.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon,Oklahoma City,OK
80,15.0,10.0,2011-01-25,Habit 6,1.0,1950,1950.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Trail,Aluminum,Oklahoma City,OK
81,15.0,11.0,2011-01-25,SuperX Ultegra,1.0,2450,2450.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Cyclocross,Carbon,Oklahoma City,OK
82,15.0,12.0,2011-01-25,Synapse Hi-Mod Disc Black Inc.,2.0,9590,19180.0,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Endurance Road,Carbon,Oklahoma City,OK
83,16.0,1.0,2011-01-25,F-Si 3,4.0,1840,7360.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN
84,16.0,2.0,2011-01-25,Trail 3,1.0,1080,1080.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN
85,16.0,3.0,2011-01-25,Catalyst 2,1.0,585,585.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN
86,16.0,4.0,2011-01-25,Catalyst 1,1.0,705,705.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN
87,16.0,5.0,2011-01-25,Supersix Evo Hi-Mod Dura Ace 1,1.0,7990,7990.0,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN
88,16.0,6.0,2011-01-25,F-Si 2,1.0,2060,2060.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN
89,16.0,7.0,2011-01-25,Scalpel 29 4,1.0,3200,3200.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN
90,16.0,8.0,2011-01-25,Jekyll Carbon 3,2.0,3840,7680.0,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Over Mountain,Carbon,Minneapolis,MN
91,17.0,1.0,2011-01-26,Slice Hi-Mod Black Inc.,1.0,7000,7000.0,Cincinnati Speed,"Cincinnati, OH",Road,Triathalon,Carbon,Cincinnati,OH
92,18.0,1.0,2011-01-28,CAAD8 Claris,1.0,815,815.0,Denver Bike Shop,"Denver, CO",Road,Elite Road,Aluminum,Denver,CO
93,18.0,2.0,2011-01-28,Scalpel 29 Carbon 3,1.0,4260,4260.0,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Carbon,Denver,CO
94,19.0,1.0,2011-01-28,F-Si Black Inc.,2.0,11190,22380.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Carbon,Ithaca,NY
95,19.0,2.0,2011-01-28,Scalpel-Si 5,1.0,3200,3200.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Aluminum,Ithaca,NY
96,20.0,1.0,2011-01-28,Supersix Evo 105,1.0,2240,2240.0,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Carbon,Kansas City,KS
97,20.0,2.0,2011-01-28,CAAD Disc Ultegra,1.0,2660,2660.0,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum,Kansas City,KS
98,20.0,3.0,2011-01-28,Jekyll Carbon 4,1.0,3200,3200.0,Kansas City 29ers,"Kansas City, KS",Mountain,Over Mountain,Carbon,Kansas City,KS
99,20.0,4.0,2011-01-28,Habit Carbon 3,1.0,3730,3730.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Carbon,Kansas City,KS
100,20.0,5.0,2011-01-28,CAAD12 Disc 105,1.0,1950,1950.0,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum,Kansas City,KS
101,20.0,6.0,2011-01-28,Synapse Carbon Disc Ultegra,1.0,3730,3730.0,Kansas City 29ers,"Kansas City, KS",Road,Endurance Road,Carbon,Kansas City,KS
102,20.0,7.0,2011-01-28,Bad Habit 1,1.0,3200,3200.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
103,20.0,8.0,2011-01-28,Beast of the East 3,1.0,1620,1620.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
104,20.0,9.0,2011-01-28,Beast of the East 2,1.0,2130,2130.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
105,21.0,1.0,2011-02-01,Trigger Carbon 1,1.0,8200,8200.0,Las Vegas Cycles,"Las Vegas, NV",Mountain,Over Mountain,Carbon,Las Vegas,NV
106,21.0,2.0,2011-02-01,Supersix Evo Hi-Mod Dura Ace 1,4.0,7990,31960.0,Las Vegas Cycles,"Las Vegas, NV",Road,Elite Road,Carbon,Las Vegas,NV
107,21.0,3.0,2011-02-01,Scalpel-Si 5,1.0,3200,3200.0,Las Vegas Cycles,"Las Vegas, NV",Mountain,Cross Country Race,Aluminum,Las Vegas,NV
108,21.0,4.0,2011-02-01,Synapse Carbon Disc Ultegra D12,1.0,4800,4800.0,Las Vegas Cycles,"Las Vegas, NV",Road,Endurance Road,Carbon,Las Vegas,NV
109,21.0,5.0,2011-02-01,Scalpel 29 4,1.0,3200,3200.0,Las Vegas Cycles,"Las Vegas, NV",Mountain,Cross Country Race,Aluminum,Las Vegas,NV
110,22.0,1.0,2011-02-01,Synapse Disc Adventure,2.0,2130,4260.0,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum,Seattle,WA
111,22.0,2.0,2011-02-01,Synapse Sora,1.0,1030,1030.0,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum,Seattle,WA
112,22.0,3.0,2011-02-01,Fat CAAD1,1.0,3730,3730.0,Seattle Race Equipment,"Seattle, WA",Mountain,Fat Bike,Aluminum,Seattle,WA
113,22.0,4.0,2011-02-01,Synapse Claris,1.0,870,870.0,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum,Seattle,WA
114,22.0,5.0,2011-02-01,Habit 5,3.0,2340,7020.0,Seattle Race Equipment,"Seattle, WA",Mountain,Trail,Aluminum,Seattle,WA
115,22.0,6.0,2011-02-01,Synapse Hi-Mod Dura Ace,1.0,5860,5860.0,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Carbon,Seattle,WA
116,22.0,7.0,2011-02-01,SuperX Hi-Mod CX1,2.0,3500,7000.0,Seattle Race Equipment,"Seattle, WA",Road,Cyclocross,Carbon,Seattle,WA
117,22.0,8.0,2011-02-01,Bad Habit 1,1.0,3200,3200.0,Seattle Race Equipment,"Seattle, WA",Mountain,Trail,Aluminum,Seattle,WA
118,22.0,9.0,2011-02-01,Synapse Carbon Ultegra 3,1.0,3200,3200.0,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Carbon,Seattle,WA
119,22.0,10.0,2011-02-01,Supersix Evo Tiagra,2.0,1840,3680.0,Seattle Race Equipment,"Seattle, WA",Road,Elite Road,Carbon,Seattle,WA
120,23.0,1.0,2011-02-04,Jekyll Carbon 2,1.0,6070,6070.0,Denver Bike Shop,"Denver, CO",Mountain,Over Mountain,Carbon,Denver,CO
121,23.0,2.0,2011-02-04,F-Si 1,1.0,2340,2340.0,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Aluminum,Denver,CO
122,23.0,3.0,2011-02-04,Trail 4,1.0,980,980.0,Denver Bike Shop,"Denver, CO",Mountain,Sport,Aluminum,Denver,CO
123,23.0,4.0,2011-02-04,Synapse Carbon Disc 105,1.0,2660,2660.0,Denver Bike Shop,"Denver, CO",Road,Endurance Road,Carbon,Denver,CO
124,23.0,5.0,2011-02-04,Slice 105,1.0,1950,1950.0,Denver Bike Shop,"Denver, CO",Road,Triathalon,Carbon,Denver,CO
125,24.0,1.0,2011-02-07,Slice Ultegra D12,1.0,3200,3200.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Triathalon,Carbon,Ann Arbor,MI
126,24.0,2.0,2011-02-07,Synapse Carbon Ultegra 4,7.0,2660,18620.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Carbon,Ann Arbor,MI
127,24.0,3.0,2011-02-07,Supersix Evo Hi-Mod Team,3.0,10660,31980.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Carbon,Ann Arbor,MI
128,24.0,4.0,2011-02-07,Synapse Claris,1.0,870,870.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Aluminum,Ann Arbor,MI
129,24.0,5.0,2011-02-07,Supersix Evo Red,1.0,3940,3940.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Carbon,Ann Arbor,MI
130,24.0,6.0,2011-02-07,F-Si 3,1.0,1840,1840.0,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Cross Country Race,Aluminum,Ann Arbor,MI
131,24.0,7.0,2011-02-07,Slice 105,2.0,1950,3900.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Triathalon,Carbon,Ann Arbor,MI
132,24.0,8.0,2011-02-07,Catalyst 4,1.0,415,415.0,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Sport,Aluminum,Ann Arbor,MI
133,24.0,9.0,2011-02-07,Trail 4,1.0,980,980.0,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Sport,Aluminum,Ann Arbor,MI
134,24.0,10.0,2011-02-07,CAAD8 105,1.0,1410,1410.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Aluminum,Ann Arbor,MI
135,24.0,11.0,2011-02-07,CAAD12 Disc Dura Ace,1.0,4260,4260.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Aluminum,Ann Arbor,MI
136,25.0,1.0,2011-02-07,CAAD12 Disc 105,1.0,1950,1950.0,Albuquerque Cycles,"Albuquerque, NM",Road,Elite Road,Aluminum,Albuquerque,NM
137,25.0,2.0,2011-02-07,CAAD12 Red,1.0,3200,3200.0,Albuquerque Cycles,"Albuquerque, NM",Road,Elite Road,Aluminum,Albuquerque,NM
138,25.0,3.0,2011-02-07,F-Si 1,1.0,2340,2340.0,Albuquerque Cycles,"Albuquerque, NM",Mountain,Cross Country Race,Aluminum,Albuquerque,NM
139,26.0,1.0,2011-02-09,CAAD12 Red,1.0,3200,3200.0,Columbus Race Equipment,"Columbus, OH",Road,Elite Road,Aluminum,Columbus,OH
140,27.0,1.0,2011-02-10,Supersix Evo Ultegra 4,1.0,2660,2660.0,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Carbon,Kansas City,KS
141,27.0,2.0,2011-02-10,Bad Habit 1,1.0,3200,3200.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
142,27.0,3.0,2011-02-10,CAAD8 Sora,1.0,1030,1030.0,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum,Kansas City,KS
143,27.0,4.0,2011-02-10,Trail 4,2.0,980,1960.0,Kansas City 29ers,"Kansas City, KS",Mountain,Sport,Aluminum,Kansas City,KS
144,27.0,5.0,2011-02-10,F-Si 1,1.0,2340,2340.0,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Aluminum,Kansas City,KS
145,27.0,6.0,2011-02-10,F-Si Carbon 4,1.0,2880,2880.0,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Carbon,Kansas City,KS
146,27.0,7.0,2011-02-10,Beast of the East 3,3.0,1620,4860.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
147,27.0,8.0,2011-02-10,Trail 1,1.0,1520,1520.0,Kansas City 29ers,"Kansas City, KS",Mountain,Sport,Aluminum,Kansas City,KS
148,27.0,9.0,2011-02-10,Bad Habit 2,1.0,2660,2660.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
149,27.0,10.0,2011-02-10,Scalpel-Si 5,1.0,3200,3200.0,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Aluminum,Kansas City,KS
150,27.0,11.0,2011-02-10,F-Si Carbon 2,1.0,4800,4800.0,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Carbon,Kansas City,KS
151,27.0,12.0,2011-02-10,Slice Ultegra D12,2.0,3200,6400.0,Kansas City 29ers,"Kansas City, KS",Road,Triathalon,Carbon,Kansas City,KS
152,28.0,1.0,2011-02-10,Jekyll Carbon 1,1.0,7990,7990.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon,Ithaca,NY
153,28.0,2.0,2011-02-10,Bad Habit 1,1.0,3200,3200.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Trail,Aluminum,Ithaca,NY
154,28.0,3.0,2011-02-10,Scalpel-Si 5,1.0,3200,3200.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Aluminum,Ithaca,NY
155,28.0,4.0,2011-02-10,Catalyst 4,1.0,415,415.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Sport,Aluminum,Ithaca,NY
156,28.0,5.0,2011-02-10,F-Si Black Inc.,2.0,11190,22380.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Carbon,Ithaca,NY
157,28.0,6.0,2011-02-10,Supersix Evo Hi-Mod Utegra,1.0,4260,4260.0,Ithaca Mountain Climbers,"Ithaca, NY",Road,Elite Road,Carbon,Ithaca,NY
158,28.0,7.0,2011-02-10,Scalpel-Si Carbon 2,1.0,6390,6390.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Carbon,Ithaca,NY
